dataid,total_consumption,mci
7951,1769.065,23.82487191
8197,4721.96,23.95262505
4352,788.488,23.82511633
2818,1017.821,24.02149283
1283,1398.904,23.79228975
516,1754.106,23.98161204
9729,647.155,23.79295755
774,1763.002,23.77858652
7429,1512.053,24.02057537
6148,2164.916,23.95085099
4357,298.221,23.86337869
7940,1790.51,24.17224616
4874,1971.291,23.86525175
9484,3792.035,24.01484963
1800,833.552,23.78194985
3849,760.742,23.80305199
1801,1233.081,24.06714795
2829,1037.137,23.85648395
3104,1259.917,24.08661393
4641,310.251,23.75876272
9019,1488.548,24.00221401
821,838.61,23.91499806
1334,1030.783,23.92745347
7989,1182.26,24.18483758
8243,1073.855,23.95537767
3126,3961.561,24.06986676
4154,3520.971,23.81114773
2361,1052.167,23.83007629
7739,1179.586,24.15480348
4920,1125.505,23.97616707
9278,3342.483,23.85078165
59,5386.205,23.92555158
8767,1598.989,24.04631657
2365,664.598,24.198595
4670,816.779,23.96327043
1086,1021.773,23.91689202
7741,1672.224,23.95380362
6460,1118.594,23.78421643
575,656.05,23.8399977
1589,1205.163,23.95368046
9776,4002.579,24.00542176
547,872.14,23.79135044
3635,3088.802,24.0473105
9248,3428.998,24.0900018
7719,2473.835,24.00253089
3367,1810.247,24.02594911
7973,1639.717,23.98166532
1830,1064.87,23.98477752
6692,2207.341,24.02521386
8995,597.134,23.97674744
8236,1511.293,24.18638734
3368,1340.18,23.93129248
2859,349.009,23.83821303
9775,1078.976,23.93483449
9001,935.196,23.89255474
2094,3100.851,23.95328536
2606,239.566,23.83024236
9771,2930.124,24.04202591
7731,1117.01,23.935031
4147,1729.127,23.89524191
4220,2402.105,23.92826963
3967,1036.905,23.82272142
1791,1060.957,23.89169055
1500,698.663,24.13278687
9937,874.652,24.03376004
9938,4459.71,23.79713836
9939,2412.153,23.92264075
6101,706.303,23.95797871
8669,3115.323,23.93177421
7641,1969.976,24.01000321
4313,2759.466,24.03989488
4830,0,
4575,1191.335,23.77379812
2945,1325.112,24.04269966
3036,871.867,24.01033789
7390,671.687,23.97426524
222,2918.354,23.5699494
3039,1780.894,24.05009098
9434,1096.199,23.9346805
7901,1025.774,23.8579823
7900,1705.389,24.01158673
8156,742.855,24.12931487
2004,1533.873,23.97495803
3538,758.492,24.00688592
9942,1440.257,24.10241607
3795,2659.484,23.97176607
9921,485.049,24.00775302
8386,1563.943,24.09116713
3527,1005.224,23.99776782
9922,4028.199,24.10137788
4298,943.669,23.91099402
3273,821.9,23.59088446
7627,1937.68,24.05979668
9932,991.264,24.01352896
4297,793.066,23.88801511
9935,15154.914,23.88634201
9160,948.148,24.05640524
7117,1197.293,23.9665272
974,1708.107,23.96711326
8395,527.679,23.74473872
6348,3054.483,23.39106274
2510,0,
2769,1220.062,24.09106077
8163,842.988,24.02166978
9701,438.362,24.04837891
2787,1305.229,24.08463216
499,2004.575,23.95865363
1524,786.592,23.9324814
3829,2443.272,23.98323865
3831,207.316,23.80523989
503,1681.818,23.85770369
9971,3898.306,23.4722344
8956,440.596,23.9309069
3577,854.778,23.90106976
6139,1508.155,23.91958375
9982,1156.676,24.09371189
4601,2007.056,23.99237851
9983,2257.451,23.84273486
252,4019.945,23.91373761
2557,1477.901,23.87822951
6910,1766.653,23.85645587
7166,3149.481,24.11606143
1790,2433.288,23.96554476
2814,1795.764,23.7382875
4342,1090.842,24.08184639
2034,1439.168,24.14643247
2018,2523.306,24.04049188
9462,2837.178,23.99607091
483,1220.482,24.03166752
1507,4815.778,23.76597155
484,1451.65,23.74670439
6887,982.39,24.0630689
2532,1344.479,24.1534785
3044,2482.65,24.15781599
1766,1795.508,24.19709161
8419,2984.303,23.89271228
744,974.029,24.04134094
490,2167.825,23.89216522
6888,1112.639,23.82292291
6121,1473.707,23.85775847
4590,2076.294,24.18294174
3310,1511.527,24.01640469
6643,669.187,23.78624046
4336,249.657,23.81398773
9206,0,
3268,701.474,23.76898877
1731,1314.895,23.87798659
9926,1576.231,23.97173365
2965,1334.583,24.13164438
661,944.927,23.86757122
8086,1015.132,23.8033315
2199,1067.415,24.2136158
2710,7030.971,23.76915423
9875,625.44,23.61580514
8084,1177.304,23.93168623
3736,1293.721,24.03384194
8862,271.998,23.48784855
4505,708.236,23.7949975
3482,615.654,23.31205647
2461,0,
668,871.847,23.88306149
8857,881.221,23.97644225
4767,2937.426,24.04153051
4514,984.068,24.03121031
1696,3015.287,23.73447689
1697,1313.23,23.80687464
3221,1110.557,24.02110015
8342,747.067,23.74917923
1700,4102.326,23.83230703
1169,960.41,23.9418384
3456,890.913,23.95544308
9605,605.193,23.9585856
4998,1410.097,24.0914043
3719,1209.52,24.09058728
1415,1006.852,23.98439
2953,655.178,23.90891547
9356,6357.2,24.05599675
8589,1852.915,24.02966197
9613,645.64,23.92718285
3723,1515.415,23.85293065
7560,1719.754,23.67186062
6799,6914.234,24.02115043
8079,2561.759,23.78506389
4495,214.221,24.03607076
9609,2199.781,23.80165791
2449,950.211,23.98173103
