,dataid,total_consumption,mci
0,2575,1805.5406284499986,23.453659896822543
0,8201,1244.5493638330001,23.36401674911098
0,9019,1164.2026723729984,23.50632636429984
0,7429,1086.065404513001,23.43077700103071
0,8197,4124.668872769001,23.39269947184227
0,4352,1217.0645713969998,23.508427370881385
0,2818,717.8304046379995,23.46524271006511
0,1283,1614.9461392730025,23.43074915199085
0,516,1557.7676697229967,23.40629807396831
0,1796,356.664151207,23.515475812038645
0,9729,1231.9444206330013,23.53621591166034
0,774,1399.193238432,23.458062188155843
0,6148,1443.7534019669997,23.498047858651717
0,7951,1003.340540618,23.384713985910654
0,4357,456.3577510700001,23.51938836780002
0,7940,1272.6091117869994,23.28965881427093
0,4874,1155.7593091400017,23.44801722938787
0,9484,2322.598871034995,23.42860766328032
0,1800,1324.274574291997,23.54554254409303
0,3849,1418.7145886470014,23.514073630473458
0,1801,1595.610543084998,23.606125008876283
0,2829,967.3238027949999,23.462697318118725
0,3104,616.1070805030008,23.60641026508295
0,9766,1048.115155018001,23.536638058561657
0,4641,1433.3340397319992,23.580170016032394
0,4920,1263.742170324999,23.463099644956074
0,1589,1205.0949490760008,23.58206944395418
0,1334,763.6394966450001,23.474104220370265
0,7989,1254.607610469,23.656157558334964
0,8243,981.8622834609998,23.414473159173344
0,3126,6350.992773000004,23.527556350519973
0,4154,1930.0614016179966,23.329084885946195
0,2361,840.780907896,23.483260431103265
0,7739,508.41856903299947,23.565605526644532
0,9278,2276.0340972040017,23.365398410571522
0,547,2441.4472710810005,23.620774128528318
0,59,2174.375993744,23.37555506987266
0,8767,694.3762410490008,23.461457007386677
0,2365,1118.4390872529998,23.53334839368803
0,4670,568.3765439270011,23.495980703820237
0,1086,1036.0139526300009,23.437741194096986
0,7741,858.1230348429998,23.593427714971213
0,6460,1667.6453430169997,23.431546403935865
0,575,1216.4682388360002,23.423232127357792
