dataid,total_consumption,mci_00,mci_01,mci_02,mci_03,mci_04,mci_05,mci_06,mci_07,mci_08,mci_09,mci_10,mci_11,mci_12,mci_13,mci_14,mci_15,mci_16,mci_17,mci_18,mci_19,mci_20,mci_21,mci_22,mci_23
3935,830.594,23.49075217,23.05969992,22.73708479,22.5552789,22.82460875,22.84497228,22.92401292,23.28336714,23.6852794,23.95552359,24.06015295,24.2021399,24.09844472,24.02629612,24.02049929,23.9812739,24.02247447,24.61870988,24.92262922,24.81883363,24.85735464,24.4495388,24.06820516,23.70482721
4957,4216.505,23.49639094,23.03701033,22.73249016,22.55823394,22.82847414,22.85731853,22.93030893,23.20323113,23.65222699,23.95543254,24.08316512,24.20362908,24.1172488,24.04525151,24.00062331,23.98004132,24.04768373,24.65640513,24.92048711,24.78615747,24.86143439,24.50780191,24.03442302,23.72302412
8292,859.632,23.52402655,23.04534427,22.74155613,22.55230651,22.83769412,22.86889472,22.92977679,23.21235748,23.59262244,23.95603731,24.07739907,24.24931066,24.08023133,24.03813355,24.01216372,23.99964328,24.05416977,24.68564068,24.92076421,24.78234789,24.88632703,24.4561445,24.0383359,23.71581605
2401,1790.973,23.46437757,23.02786889,22.72156327,22.54563161,22.85036633,22.95377632,23.05289538,23.20850957,23.64215828,23.99182756,24.04215104,24.19734354,24.2391822,24.01867817,24.1536298,24.01828145,24.06110344,24.7182723,24.93905543,24.79401864,24.8808262,24.39555108,24.03087924,23.75108498
1632,1789.197,23.63346156,23.30906987,22.76333623,22.47766744,22.88673519,22.8096689,22.86739409,23.33032387,23.86073087,23.9492942,24.11915578,24.25528925,24.16884253,24.06386687,24.01284564,24.07994482,24.0318119,24.71760885,24.96867636,24.79599482,25.00593443,24.44813597,24.00499432,23.67185886
6498,2162.876,23.50082628,23.03403252,22.75756268,22.54961866,22.82506487,22.85978594,22.92350184,23.19098941,23.67765642,23.95690844,24.07056291,24.19742495,24.10986918,24.04073419,24.01719171,23.97219998,24.03755707,24.66098374,24.92857812,24.78341039,24.84333119,24.450235,24.03620156,23.70224543
86,1898.818,23.47313581,23.0228941,22.74903569,22.56141843,22.8414197,22.86099078,22.91267624,23.26407211,23.63948137,23.97288624,24.0758533,24.21081404,24.11476318,24.02976808,24.01392476,23.97304047,24.0526262,24.68339799,24.95597155,24.78873501,24.85365091,24.43578849,24.03856912,23.70011582
8273,2967.24,23.48787833,23.04569353,22.7502806,22.55835065,22.82977687,22.84922312,22.93828626,23.21128403,23.64995686,23.96532565,24.06340971,24.1971864,24.10575246,24.04150745,24.00645775,23.97941786,24.05464119,24.65381993,24.92075114,24.7926309,24.85760647,24.43537512,24.04415075,23.70728726
7767,578.334,23.4866189,23.0513806,22.72531432,22.5503048,22.81578688,22.87042911,22.91491651,23.20097238,23.65747851,23.95154675,24.06331426,24.21324971,24.11019141,24.03757581,24.00243717,23.98350684,24.02572885,24.68441492,24.89189765,24.7933806,24.88032688,24.46237401,24.03343158,23.71549075
3413,2156.272,23.4852735,23.03876106,22.74243164,22.55237983,22.82836452,22.85282062,22.91132535,23.20911263,23.64906443,23.94882239,24.06553293,24.21481878,24.12106502,24.0518794,24.00462835,23.97009246,24.06215284,24.66165823,24.88099903,24.78805947,24.90674214,24.46018204,24.04669313,23.6859854
